"extId","processing"
"AB2331",0.986111111111111
"AC1207",0.944444444444444
"AD0645",1
"AD2146",0.944444444444444
"AG1208",0.986111111111111
"AH0747",0.805555555555556
"AM0188",0.972222222222222
"AM0235",0.944444444444444
"AM1513",0.986111111111111
"AM2391",0.972222222222222
"AM2586",0.777777777777778
"AM2918",0.652777777777778
"AN0154",0.972222222222222
"AN0507",0.972222222222222
"AN0510",0.986111111111111
"AN0520",0.972222222222222
"AN0527",1
"AN0596",0.972222222222222
"AN1217",0.986111111111111
"AN1300",1
"AN1382",0.972222222222222
"AN1883",1
"AN1953",1
"AN2015",0.972222222222222
"AN2176",1
"AN2240",0.708333333333333
"AN2325",0.958333333333333
"AN2632",1
"AN2840",1
"AN2885",0.986111111111111
"AN3158",1
"AO2840",0.972222222222222
"AR0464",0.902777777777778
"AR1915",1
"AR1989",0.986111111111111
"AS2138",1
"AY0849",0.972222222222222
"AY1953",0.916666666666667
"BE0899",0.930555555555556
"BE1252",0.986111111111111
"CA2618",0.986111111111111
"CA2680",0.958333333333333
"CA3097",0.986111111111111
"CE2244",0.944444444444444
"CK0735",0.986111111111111
"CP0636",0.958333333333333
"CY2785",0.972222222222222
"DA0321",0.986111111111111
"DA0594",0.930555555555556
"DA1109",1
"DA2623",0.972222222222222
"DI0621",0.986111111111111
"DI1828",0.986111111111111
"DU1145",0.819444444444444
"EA0378",0.972222222222222
"EA2411",0.736111111111111
"EE0753",1
"EH2880",0.958333333333333
"EI2360",0.986111111111111
"EK0357",0.986111111111111
"EL0448",0.972222222222222
"EL0556",1
"EL0562",0.986111111111111
"EL0968",0.944444444444444
"EL0989",0.930555555555556
"EL1073",0.986111111111111
"EL2128",0.986111111111111
"EL28877",0.972222222222222
"EM0118",0.972222222222222
"EM1190",1
"EN2058",0.986111111111111
"EO0891",0.972222222222222
"EP1416",0.694444444444444
"ER0194",0.958333333333333
"ER1830",0.986111111111111
"ER2636",1
"ER3038",0.972222222222222
"ES0908",0.986111111111111
"ES1009",0.986111111111111
"ES1102",1
"ES1586",0.916666666666667
"ET0193",1
"ET0355",0.944444444444444
"EW1371",1
"EW1418",1
"EW2240",0.902777777777778
"EY1994",0.972222222222222
"FA11711",0.930555555555556
"FA3189",0.944444444444444
"HA0458",0.944444444444444
"HA0538",0.958333333333333
"HA1083",0.958333333333333
"HA2096",0.916666666666667
"HA2167",0.972222222222222
"HI1771",0.986111111111111
"HI1974",0.916666666666667
"HI2240",0.986111111111111
"HI2999",1
"HY1498",0.986111111111111
"IA0615",0.986111111111111
"IA0618",0.986111111111111
"IA0715",1
"IA1139",1
"IA1160",0.986111111111111
"IA1308",1
"IA2245",1
"IA2689",0.986111111111111
"IA2916",0.958333333333333
"IE0242",0.916666666666667
"IE0313",1
"IE0565",0.541666666666667
"IE0817",0.986111111111111
"IE0902",1
"IE1002",1
"IE1066",1
"IE1199",0.916666666666667
"IE1220",0.958333333333333
"IE1425",0.986111111111111
"IE1555",0.916666666666667
"IE1589",0.972222222222222
"IE2304",0.986111111111111
"IE2827",0.986111111111111
"IE2895",0.972222222222222
"IE3106",1
"IF1417",0.986111111111111
"IL0314",0.986111111111111
"IL2555",0.986111111111111
"IM0389",0.777777777777778
"IM1173",0.986111111111111
"IN0570",0.0972222222222222
"IN2473",0.944444444444444
"IN2705",1
"IN2774",0.986111111111111
"IR1090",0.930555555555556
"IS0276",0.902777777777778
"IS2838",0.930555555555556
"IT0947",0.333333333333333
"IU1413",0.986111111111111
"IZ0746",0.958333333333333
"IZ2252",0.916666666666667
"JA2010",0.986111111111111
"JA2226",1
"KA0797",0.916666666666667
"KA12453",0.958333333333333
"KA1365",1
"KA1447",0.972222222222222
"KA1880",1
"KE1191",1
"KE2465",0.972222222222222
"KE2580",0.916666666666667
"LA0766",0.972222222222222
"LA1201",0.972222222222222
"LA1351",0.958333333333333
"LA1360",0.819444444444444
"LA1521",0.944444444444444
"LA2498",0.986111111111111
"LA2597",1
"LA2639",0.958333333333333
"LI0528",0.888888888888889
"LY0671",0.902777777777778
"LY2007",1
"LY2811",1
"MA0417",0.972222222222222
"MA0692",0.972222222222222
"MA1034",0.902777777777778
"MA2107",0.986111111111111
"MA2300",1
"ME2455",0.958333333333333
"MI1958",0.888888888888889
"MY3136",0.986111111111111
"NA0345",1
"NA0742",1
"NA0890",0.944444444444444
"NA1064",0.736111111111111
"NA1268",0.958333333333333
"NA1579",0.986111111111111
"NA1874",0.986111111111111
"NA2314",0.944444444444444
"NA2547",0.625
"NA2786",0.972222222222222
"NE0118",0.958333333333333
"NE0792",0.972222222222222
"NE3022",0.986111111111111
"NG1142",0.972222222222222
"NG1428",0.972222222222222
"NG1897",0.972222222222222
"NG2907",0.944444444444444
"NI0288",0.986111111111111
"NI0447",0.972222222222222
"NI1880",1
"NI2038",0.986111111111111
"NI2511",0.958333333333333
"NI2709",0.986111111111111
"NI2961",0.902777777777778
"NO2986",0.916666666666667
"NU3009",0.986111111111111
"NY1117",0.958333333333333
"OM2797",0.875
"OR0339",1
"OR0919",0.986111111111111
"OR2427",0.986111111111111
"OT0758",0.958333333333333
"PH0501",0.708333333333333
"QI2574",0.986111111111111
"RA1335",0.972222222222222
"RA1607",1
"RA1724",0.902777777777778
"RA2037",0.986111111111111
"RA2307",1
"RA2435",1
"RA2703",1
"RA3059",0.986111111111111
"RI0316",0.972222222222222
"RI0573",0.986111111111111
"RI1138",1
"RI1406",0.888888888888889
"RI2080",1
"RI2490",0.986111111111111
"RO2840",1
"RU1941",1
"RU3177",0.986111111111111
"SA0914",0.972222222222222
"SA2280",1
"SA2885",1
"SH1024",1
"SH1504",1
"SH2796",0.986111111111111
"SI0547",0.986111111111111
"SZ0779",0.972222222222222
"TA0364",0.902777777777778
"TA0451",0.930555555555556
"TA0820",1
"TA2304",0.986111111111111
"TA2553",0.763888888888889
"TH0246",0.958333333333333
"TH0335",0.972222222222222
"TH0871",1
"TH1090",1
"TH2817",0.986111111111111
"TY2295",0.708333333333333
"TY3111",0.986111111111111
"UA1744",0.930555555555556
"UB1675",0.972222222222222
"UH1865",0.958333333333333
"UL2052",0.972222222222222
"UN1577",1
"UN2428",0.930555555555556
"UR1876",0.972222222222222
"UR2297",0.972222222222222
"US0117",0.986111111111111
"UT3036",0.888888888888889
"YA1185",0.916666666666667
"YA1310",1
"YA1703",0.986111111111111
"YA1806",1
"YA2120",0.972222222222222
"YA2340",0.930555555555556
"YA2363",0.972222222222222
"YI0692",0.986111111111111
"YI2480",0.986111111111111
"YI2602",1
"YN1017",0.986111111111111
"YN2494",0.944444444444444
"YS1669",0.986111111111111
"YU0785",0.986111111111111
"ZE0580",1
"ZE1494",0.986111111111111
